Federal Office of Meteorology and Climatology, MeteoSwiss
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Order number 94087

Filename                                Filetype  Station                              Parameter                                                   Period
order_94087_VDCRA_rre150m0_19_data.txt  Data      Crans-près-Céligny                   Precipitation; monthly total                                201008-201010
order_94087_VDCRA_rre150m0_19_legend.txt Legend    Crans-près-Céligny                   Precipitation; monthly total                                201008-201010
order_94087_VDCRA_rre150m0_20_data.txt  Data      Crans-près-Céligny                   Precipitation; monthly total                                201012-201201
order_94087_VDCRA_rre150m0_20_legend.txt Legend    Crans-près-Céligny                   Precipitation; monthly total                                201012-201201
order_94087_VDCRA_rre150m0_21_data.txt  Data      Crans-près-Céligny                   Precipitation; monthly total                                201205-201211
order_94087_VDCRA_rre150m0_21_legend.txt Legend    Crans-près-Céligny                   Precipitation; monthly total                                201205-201211
order_94087_VDCRA_rre150m0_22_data.txt  Data      Crans-près-Céligny                   Precipitation; monthly total                                201212-202103
order_94087_VDCRA_rre150m0_22_legend.txt Legend    Crans-près-Céligny                   Precipitation; monthly total                                201212-202103
order_94087_CRM_rre150m0_1_data.txt     Data      Cressier                             Precipitation; monthly total                                201009-201204
order_94087_CRM_rre150m0_1_legend.txt   Legend    Cressier                             Precipitation; monthly total                                201009-201204
order_94087_CRM_rre150m0_2_data.txt     Data      Cressier                             Precipitation; monthly total                                201205-202103
order_94087_CRM_rre150m0_2_legend.txt   Legend    Cressier                             Precipitation; monthly total                                201205-202103
order_94087_DEM_rre150m0_1_data.txt     Data      Delémont                             Precipitation; monthly total                                189207-202103
order_94087_DEM_rre150m0_1_legend.txt   Legend    Delémont                             Precipitation; monthly total                                189207-202103
order_94087_DID_rre150m0_1_data.txt     Data      Dielsdorf                            Precipitation; monthly total                                195612-199501
order_94087_DID_rre150m0_1_legend.txt   Legend    Dielsdorf                            Precipitation; monthly total                                195612-199501
order_94087_TGDIE_rre150m0_1_data.txt   Data      Diessenhofen                         Precipitation; monthly total                                201008-201009
order_94087_TGDIE_rre150m0_1_legend.txt Legend    Diessenhofen                         Precipitation; monthly total                                201008-201009
order_94087_TGDIE_rre150m0_2_data.txt   Data      Diessenhofen                         Precipitation; monthly total                                201010-201011
order_94087_TGDIE_rre150m0_2_legend.txt Legend    Diessenhofen                         Precipitation; monthly total                                201010-201011
order_94087_TGDIE_rre150m0_3_data.txt   Data      Diessenhofen                         Precipitation; monthly total                                201102-201106
order_94087_TGDIE_rre150m0_3_legend.txt Legend    Diessenhofen                         Precipitation; monthly total                                201102-201106
order_94087_TGDIE_rre150m0_4_data.txt   Data      Diessenhofen                         Precipitation; monthly total                                201107-201111
order_94087_TGDIE_rre150m0_4_legend.txt Legend    Diessenhofen                         Precipitation; monthly total                                201107-201111
order_94087_TGDIE_rre150m0_5_data.txt   Data      Diessenhofen                         Precipitation; monthly total                                201202-201210
order_94087_TGDIE_rre150m0_5_legend.txt Legend    Diessenhofen                         Precipitation; monthly total                                201202-201210
order_94087_TGDIE_rre150m0_6_data.txt   Data      Diessenhofen                         Precipitation; monthly total                                201304-201306
order_94087_TGDIE_rre150m0_6_legend.txt Legend    Diessenhofen                         Precipitation; monthly total                                201304-201306
order_94087_TGDIE_rre150m0_7_data.txt   Data      Diessenhofen                         Precipitation; monthly total                                201307-201308
